tensor_type,bin_left,bin_right,density,count,in_range_count,total_sampled_count,plot_range_low,plot_range_high
post-GELU,1.0392125916331927,1.0581060774009594,0.011313997727624585,64,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.0581060774009594,1.0769995631687261,0.013612153516048327,77,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.0769995631687261,1.0958930489364929,0.012728247443577659,72,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.0958930489364929,1.1147865347042596,0.012197903800095255,69,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.1147865347042596,1.1336800204720263,0.0072480297942595,41,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.1336800204720263,1.152573506239793,0.00989974801167151,56,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.152573506239793,1.1714669920075595,0.0102533104406599,58,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.1714669920075595,1.1903604777753263,0.01025331044065978,58,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.1903604777753263,1.209253963543093,0.009722966797177377,55,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.209253963543093,1.2281474493108597,0.008662279510212572,49,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.2281474493108597,1.2470409350786265,0.008662279510212572,49,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.2470409350786265,1.2659344208463932,0.007601592223247767,43,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.2659344208463932,1.28482790661416,0.011490778942118718,65,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.28482790661416,1.3037213923819266,0.0070712485797653655,40,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.3037213923819266,1.3226148781496934,0.007601592223247767,43,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.3226148781496934,1.34150836391746,0.006364123721788829,36,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.34150836391746,1.3604018496852268,0.007778373437741902,44,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.3604018496852268,1.3792953354529935,0.00512665522032989,29,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.3792953354529935,1.3981888212207603,0.005480217649318158,31,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.3981888212207603,1.4170823069885268,0.004596311576847542,26,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.4170823069885268,1.4359757927562935,0.004949874005835755,28,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.4359757927562935,1.4548692785240602,0.005303436434824024,30,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.4548692785240602,1.473762764291827,0.0044195303623533536,25,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.473762764291827,1.4926562500595937,0.0044195303623533536,25,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.4926562500595937,1.5115497358273604,0.00601056129280056,34,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.5115497358273604,1.5304432215951271,0.005303436434824024,30,299400,300000,-0.1699704975038767,2.0972477946281285
post-GELU,1.5304432215951271,1.5493367073628939,0.005656998863812292,32,299400,300000,-0.1699704975038767,2.0972477946281285
